date,cumu,dailynew,SMA10,SMA5
01/03/2020,29,4,,
02/03/2020,29,0,,
03/03/2020,36,7,,
04/03/2020,50,14,,
05/03/2020,55,5,,6
06/03/2020,83,28,,10.8
07/03/2020,93,10,,12.8
08/03/2020,99,6,,12.6
09/03/2020,117,18,,13.4
10/03/2020,129,12,10.4,14.8
11/03/2020,149,20,12,13.2
12/03/2020,158,9,12.9,13
13/03/2020,197,39,16.1,19.6
14/03/2020,238,41,18.8,24.2
15/03/2020,428,190,37.3,59.8
16/03/2020,553,125,47,80.8
17/03/2020,673,120,58,103
18/03/2020,790,117,69.1,118.6
19/03/2020,900,110,78.3,132.4
20/03/2020,1030,130,90.1,120.4
21/03/2020,1183,153,103.4,126
22/03/2020,1306,123,114.8,126.6
23/03/2020,1518,212,132.1,145.6
24/03/2020,1624,106,138.6,144.8
25/03/2020,1796,172,136.8,153.2
26/03/2020,2031,235,147.8,169.6
27/03/2020,2161,130,148.8,171
28/03/2020,2320,159,153,160.4
29/03/2020,2470,150,157,169.2
30/03/2020,2626,156,159.6,166
31/03/2020,2766,140,158.3,147
01/04/2020,2908,142,160.2,149.4
02/04/2020,3116,208,159.8,159.2
03/04/2020,3333,217,170.9,172.6
04/04/2020,3483,150,168.7,171.4
05/04/2020,3662,179,163.1,179.2
06/04/2020,3793,131,163.2,177
07/04/2020,3963,170,164.3,169.4
08/04/2020,4119,156,164.9,157.2
09/04/2020,4228,109,160.2,149
10/04/2020,4346,118,158,136.8
11/04/2020,,184,162.2,147.4
12/04/2020,,153,156.7,144
13/04/2020,,134,148.4,139.6
14/04/2020,,170,150.4,151.8
15/04/2020,,84,140.9,145
16/04/2020,,110,138.8,130.2
17/04/2020,,69,128.7,113.4
18/04/2020,,54,118.5,97.4